sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,13,,0.9673440954805899
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,14,,0.3725872238076846
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,15,,0.36622863569723746
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,16,,0.44357213060191
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,17,,0.3882914799476367
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,18,,0.4023848506274085
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,19,,0.8519931139536223
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,20,,1.0260120299679678
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,21,,0.7981435153802847
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,22,,0.6523725078420051
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,23,,0.6002781298873536
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,0,,1.8542903371351
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,1,,1.195866560199563
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,2,,0.8572217222590233
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,3,,0.7610359402279003
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,4,,0.6499449441866798
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,5,,0.8034529897192428
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,6,,1.0970710933971366
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,7,,1.3017294480195991
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,8,,0.6685093765444337
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,9,,0.6369778805764945
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,10,,0.32959363253111035
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,11,,0.3813951944451997
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,12,,1.3338939410417447
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,13,,1.092596110357369
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,14,,0.43448824264020025
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,15,,0.3875301278654676
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,16,,0.4612398835891648
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,17,,0.452042182574702
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,18,,0.40822675394594354
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,19,,0.9315391831191011
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,20,,1.0841958775127176
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,21,,0.8630932828898588
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,22,,0.6432335959634801
all_equivalent5_ext_20260311,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-05,2026-03-11,workday_w2,23,,0.6240999112880878
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,0,,1.7936958873594357
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,1,,1.294034951468336
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,2,,0.959114062167783
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,3,,0.7344428679135545
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,4,,0.6630399931322233
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,5,,0.8594875748167446
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,6,,1.1925816124723578
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,7,,1.3345191136138783
all_equivalent5_ext_20260312,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-06,2026-03-12,workday_w3,8,,0.6969923080874005
